County,Address,Building City,Building State,Building ZIP,Building Footprint,Building Footprint Sq Ft,Parcel Number,Year Built,Effective Year Built,Property Use,Stories,Land Area,Construction Type,Tax District,Land Value,Primary Aerial Source,Primary Aerial Image URL,Primary Aerial Photo Date,Primary Aerial Image File,Primary Aerial QA Status,Primary Aerial QA Reason,Primary Aerial QA Blank,Primary Aerial QA Width,Primary Aerial QA Height,Primary Aerial QA Brightness,Primary Aerial QA Contrast,Denver GIS Aerial Image URL,Denver GIS Aerial Photo Date,Denver GIS Aerial Image File
Jefferson,13410 MORRISON RD,LAKEWOOD,CO,80228,"POLYGON ((3103665.1869506835937500 1663355.7252197265625000, 3103667.2448120117187500 1663352.3762817382812500, 3103673.7125244140625000 1663341.8515014648437500, 3103575.5175781250000000 1663281.5103149414062500, 3103566.4426879882812500 1663296.2781982421875000, 3103546.0010375976562500 1663329.5433349609375000, 3103583.1576538085937500 1663352.3762817382812500, 3103644.1952514648437500 1663389.8845214843750000, 3103665.1869506835937500 1663355.7252197265625000))",6498,4932200001,2006,,Garage/Shed Storage Warehouse    9119 9219,1,1955.14,Garage/Shed,,30934677,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11703286.168%2C4815761.040%2C-11703200.299%2C4815839.305&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Jefferson/aerial_imagery/world_imagery/4932200001-world_imagery-ai-crop.jpg,ok,,FALSE,640,640,121.50,28.61,,,
Jefferson,13300 W 2ND PL,LAKEWOOD,CO,80228,"POLYGON ((3098354.8995361328125000 1685731.6992797851562500, 3098415.8259277343750000 1685679.4277343750000000, 3098416.3651123046875000 1685678.9660644531250000, 3098422.5072631835937500 1685673.6957397460937500, 3098436.4222412109375000 1685689.9150390625000000, 3098438.3099365234375000 1685692.1146850585937500, 3098441.0853881835937500 1685689.7332153320312500, 3098446.1870727539062500 1685685.3562622070312500, 3098447.5432128906250000 1685684.1929321289062500, 3098478.7104492187500000 1685657.4525756835937500, 3098477.1924438476562500 1685655.6968383789062500, 3098467.7599487304687500 1685644.7875366210937500, 3098474.9134521484375000 1685638.1262817382812500, 3098471.0699462890625000 1685632.3190917968750000, 3098477.1796264648437500 1685627.2562866210937500, 3098477.5145874023437500 1685626.9689941406250000, 3098542.3623657226562500 1685571.3336791992187500, 3098595.8612060546875000 1685525.4345092773437500, 3098598.2196044921875000 1685523.4114379882812500, 3098584.2218627929687500 1685507.0957031250000000, 3098532.8530883789062500 1685447.2206420898437500, 3098531.7586059570312500 1685448.1597900390625000, 3098497.6957397460937500 1685477.3836669921875000, 3098482.9391479492187500 1685460.1836547851562500, 3098481.4344482421875000 1685461.4747924804687500, 3098353.3909912109375000 1685571.3287353515625000, 3098335.1327514648437500 1685586.9926757812500000, 3098322.4782714843750000 1685572.2425537109375000, 3098303.9232177734375000 1685588.1620483398437500, 3098306.2453002929687500 1685590.8690795898437500, 3098308.9008789062500000 1685593.9643554687500000, 3098298.5681762695312500 1685603.6671752929687500, 3098289.4244995117187500 1685614.5054321289062500, 3098281.5938110351562500 1685626.3315429687500000, 3098275.1824951171875000 1685638.9867553710937500, 3098270.2769775390625000 1685652.2979736328125000, 3098287.9877929687500000 1685658.4601440429687500, 3098296.4384765625000000 1685668.3104858398437500, 3098298.0842285156250000 1685670.2284545898437500, 3098287.4781494140625000 1685679.3275146484375000, 3098327.5603027343750000 1685726.0471191406250000, 3098341.9448242187500000 1685742.8139038085937500, 3098354.8995361328125000 1685731.6992797851562500))",42222,4907400006,1971,,"Public School, Entire Elementary    9139 9239",1,89.41,Public,,778931,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11705365.684%2C4824543.373%2C-11705145.415%2C4824751.796&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Jefferson/aerial_imagery/world_imagery/4907400006-world_imagery-ai-crop.jpg,ok,,FALSE,640,640,134.27,48.83,,,
Jefferson,13175 W GREEN MOUNTAIN DR,LAKEWOOD,CO,80228,"POLYGON ((3099675.5866088867187500 1677823.9913330078125000, 3099708.8222045898437500 1677846.5713500976562500, 3099690.3212280273437500 1677873.8024291992187500, 3099707.5628662109375000 1677885.5177612304687500, 3099768.5728149414062500 1677926.9651489257812500, 3099788.2560424804687500 1677940.3371582031250000, 3099823.1843261718750000 1677888.9245605468750000, 3099734.6056518554687500 1677828.7482299804687500, 3099830.1790771484375000 1677688.0665893554687500, 3099904.2075805664062500 1677738.3593139648437500, 3099921.4118041992187500 1677713.0348510742187500, 3099990.1311035156250000 1677759.7196655273437500, 3099975.8255615234375000 1677780.7768554687500000, 3100021.9799194335937500 1677812.1326904296875000, 3100029.9164428710937500 1677800.4498291015625000, 3100042.5569458007812500 1677809.0374145507812500, 3100047.0658569335937500 1677812.1001586914062500, 3100051.8499755859375000 1677815.3500976562500000, 3100058.3709716796875000 1677805.7523193359375000, 3100066.3755493164062500 1677811.1901245117187500, 3100121.9926757812500000 1677848.9739990234375000, 3100140.3171386718750000 1677822.0007934570312500, 3100135.0963134765625000 1677818.4544677734375000, 3100138.6014404296875000 1677813.2948608398437500, 3100141.1719360351562500 1677809.5107421875000000, 3100175.2279663085937500 1677759.3817138671875000, 3100150.7988281250000000 1677742.7850341796875000, 3100168.1773071289062500 1677717.2042846679687500, 3100175.8737182617187500 1677705.8756713867187500, 3100103.6625976562500000 1677656.8176879882812500, 3100105.1404418945312500 1677654.6422729492187500, 3099995.6184082031250000 1677580.2371826171875000, 3099995.1265869140625000 1677580.9611816406250000, 3099980.8270874023437500 1677571.2470092773437500, 3099896.1784667968750000 1677695.8472900390625000, 3099846.5896606445312500 1677662.1591186523437500, 3099874.6154785156250000 1677620.6796264648437500, 3099814.0992431640625000 1677579.7921752929687500, 3099897.8699951171875000 1677455.8046875000000000, 3099844.2119750976562500 1677419.5513305664062500, 3099788.5392456054687500 1677381.7296752929687500, 3099784.0068969726562500 1677378.6502685546875000, 3099783.7195434570312500 1677379.0740966796875000, 3099756.7592163085937500 1677418.7600097656250000, 3099752.2106323242187500 1677425.4545288085937500, 3099748.3784790039062500 1677431.0946044921875000, 3099730.9561157226562500 1677419.2583007812500000, 3099738.4260864257812500 1677408.2612915039062500, 3099737.6113281250000000 1677407.7077636718750000, 3099656.9869384765625000 1677352.9348754882812500, 3099641.8348999023437500 1677375.2373657226562500, 3099638.7944335937500000 1677379.7133789062500000, 3099635.9917602539062500 1677383.8381347656250000, 3099592.9557495117187500 1677447.1861572265625000, 3099590.6623535156250000 1677450.5627441406250000, 3099588.2922363281250000 1677454.0519409179687500, 3099572.0539550781250000 1677477.9537353515625000, 3099671.5487670898437500 1677545.5466918945312500, 3099670.6719970703125000 1677546.8381958007812500, 3099667.1385498046875000 1677552.0397338867187500, 3099663.7188720703125000 1677557.0722656250000000, 3099615.6892700195312500 1677627.7703857421875000, 3099710.9436035156250000 1677692.4828491210937500, 3099716.9235229492187500 1677696.5448608398437500, 3099737.7028198242187500 1677665.9576416015625000, 3099747.2415771484375000 1677672.4378051757812500, 3099758.7425537109375000 1677655.5088500976562500, 3099782.2265625000000000 1677671.4616088867187500, 3099806.2852172851562500 1677636.0486450195312500, 3099813.3113403320312500 1677640.8225708007812500, 3099820.3378295898437500 1677645.5961303710937500, 3099764.7316284179687500 1677727.4470214843750000, 3099740.7274169921875000 1677711.1399536132812500, 3099684.0259399414062500 1677794.6033325195312500, 3099691.9121704101562500 1677799.9609985351562500, 3099675.5866088867187500 1677823.9913330078125000))",124596,4920200001,1973,,"Public School, Entire Elementary    9139 9239",1,29.75,Public,,1487545,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11704901.543%2C4821288.117%2C-11704494.889%2C4821688.649&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Jefferson/aerial_imagery/world_imagery/4920200001-world_imagery-ai-crop.jpg,ok,,FALSE,640,640,132.48,50.31,,,
Jefferson,250 S ROUTT ST,LAKEWOOD,CO,80228,"POLYGON ((3104167.5043945312500000 1684679.4428100585937500, 3104167.5013427734375000 1684571.8402709960937500, 3104167.5013427734375000 1684568.2156982421875000, 3104179.1913452148437500 1684568.2145385742187500, 3104180.0491943359375000 1684568.2145385742187500, 3104180.0491943359375000 1684561.9116821289062500, 3104182.5176391601562500 1684561.9116821289062500, 3104182.5169067382812500 1684550.1441650390625000, 3104179.1913452148437500 1684550.1441650390625000, 3104179.1909790039062500 1684544.3237304687500000, 3104167.7149658203125000 1684544.3245239257812500, 3104167.7142333984375000 1684512.2083740234375000, 3104167.7123413085937500 1684466.5261840820312500, 3104136.1088256835937500 1684466.5273437500000000, 3104136.1088256835937500 1684464.3458251953125000, 3104110.6089477539062500 1684464.3461914062500000, 3104110.6089477539062500 1684466.8573608398437500, 3104052.0632324218750000 1684466.8585205078125000, 3104052.0651245117187500 1684544.1929321289062500, 3104051.2473754882812500 1684544.1929321289062500, 3104051.2481079101562500 1684567.8969726562500000, 3104052.1921386718750000 1684567.8969726562500000, 3104052.1959228515625000 1684679.6617431640625000, 3104110.3662109375000000 1684679.6602172851562500, 3104110.3662109375000000 1684681.6016235351562500, 3104136.1220703125000000 1684681.6004638671875000, 3104136.1220703125000000 1684679.4439697265625000, 3104167.5043945312500000 1684679.4428100585937500))",25028,4908401015,,,Commercial     2130 2230,,12.77,Commercial,,4448640,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11703064.813%2C4824159.210%2C-11702952.399%2C4824306.003&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Jefferson/aerial_imagery/world_imagery/4908401015-world_imagery-ai-crop.jpg,ok,,FALSE,640,640,148.19,65.50,,,
Jefferson,13165 W OHIO AVE,LAKEWOOD,CO,80228,"POLYGON ((3099517.8863525390625000 1681229.3886718750000000, 3099477.0087280273437500 1681229.0816650390625000, 3099477.5546875000000000 1681156.4855957031250000, 3099478.3047485351562500 1681056.5511474609375000, 3099450.9228515625000000 1681056.3458251953125000, 3099450.8351440429687500 1681068.0729370117187500, 3099414.6304931640625000 1681067.8010864257812500, 3099414.8634033203125000 1681036.7344360351562500, 3099422.9757080078125000 1681036.7957153320312500, 3099423.1621093750000000 1681011.9653930664062500, 3099370.2432250976562500 1681011.5676879882812500, 3099370.0610351562500000 1681035.9397583007812500, 3099352.5830688476562500 1681035.8085327148437500, 3099352.6450805664062500 1681027.5454101562500000, 3099325.2737426757812500 1681027.3397216796875000, 3099324.8472900390625000 1681084.0763549804687500, 3099341.4983520507812500 1681084.2014770507812500, 3099341.5535278320312500 1681076.8850097656250000, 3099351.9207153320312500 1681076.9628906250000000, 3099351.8405151367187500 1681087.5920410156250000, 3099351.8235473632812500 1681089.8707275390625000, 3099351.0624389648437500 1681191.1832885742187500, 3099372.8704833984375000 1681191.3469848632812500, 3099372.6447753906250000 1681221.4661254882812500, 3099372.6141357421875000 1681225.5387573242187500, 3099372.5853881835937500 1681229.3285522460937500, 3099372.0836791992187500 1681296.5370483398437500, 3099548.4146118164062500 1681297.8595581054687500, 3099548.7374877929687500 1681254.6987304687500000, 3099517.6980590820312500 1681254.4658203125000000, 3099517.8863525390625000 1681229.3886718750000000))",35797,4917300002,1971,,"Public School, Entire Elementary    9139 9239",1,10.51,Public,,525350,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11704949.770%2C4822785.708%2C-11704781.520%2C4822978.559&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Jefferson/aerial_imagery/world_imagery/4917300002-world_imagery-ai-crop.jpg,ok,,FALSE,640,640,129.38,50.21,,,
Jefferson,12364 W ALAMEDA PKWY,LAKEWOOD,CO,80228,"POLYGON ((3102237.5449829101562500 1681054.4097290039062500, 3102240.3238525390625000 1681058.3447265625000000, 3102174.3905639648437500 1681104.8991088867187500, 3102179.1077880859375000 1681111.5811767578125000, 3102209.2749633789062500 1681154.3052978515625000, 3102212.4938964843750000 1681158.8640747070312500, 3102180.9595947265625000 1681181.1303100585937500, 3102178.0178222656250000 1681176.9650878906250000, 3102142.9553222656250000 1681127.3070678710937500, 3102084.8130493164062500 1681168.3612670898437500, 3102069.6522827148437500 1681146.8912963867187500, 3102065.6806640625000000 1681149.6954345703125000, 3102060.0296020507812500 1681140.9199829101562500, 3102065.5623168945312500 1681136.5271606445312500, 3102059.4431762695312500 1681128.8193969726562500, 3102053.9097290039062500 1681133.2118530273437500, 3102047.0136718750000000 1681123.2586669921875000, 3102087.2429199218750000 1681094.8525390625000000, 3102036.7879638671875000 1681023.3945312500000000, 3101922.5067138671875000 1681104.0866088867187500, 3101932.6704711914062500 1681118.4817504882812500, 3102085.3756103515625000 1681334.7522583007812500, 3102360.5233764648437500 1681140.4749755859375000, 3102278.5057983398437500 1681024.3162841796875000, 3102236.9934082031250000 1681053.6282348632812500, 3102237.5449829101562500 1681054.4097290039062500))",61419,4917406019,1971,,"Commercial Shopping Center, Neighborhood    2112 2212",1,9.19,Commercial,,4001220,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11703942.996%2C4822765.247%2C-11703648.302%2C4823010.207&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Jefferson/aerial_imagery/world_imagery/4917406019-world_imagery-ai-crop.jpg,ok,,FALSE,640,640,134.49,51.73,,,
Jefferson,12043 W ALAMEDA PKWY,LAKEWOOD,CO,80228,"POLYGON ((3102141.3073120117187500 1682952.5637207031250000, 3102141.3587036132812500 1682943.3194580078125000, 3102127.3923339843750000 1682943.2423706054687500, 3101953.5011596679687500 1682942.2775268554687500, 3101953.0077514648437500 1683031.1004638671875000, 3101996.8422851562500000 1683031.1015625000000000, 3101996.8415527343750000 1683061.6253051757812500, 3101983.6403808593750000 1683061.6245117187500000, 3101983.6403808593750000 1683066.5810546875000000, 3101944.0379638671875000 1683066.5795288085937500, 3101943.8217163085937500 1683105.6469726562500000, 3101967.2308349609375000 1683111.7260131835937500, 3101966.2871704101562500 1683281.8693237304687500, 3101997.2630615234375000 1683281.4750366210937500, 3101996.5609741210937500 1683365.0230712890625000, 3101996.8910522460937500 1683365.0253295898437500, 3102016.5179443359375000 1683365.1338500976562500, 3102016.4699096679687500 1683373.9229125976562500, 3102031.4813232421875000 1683374.0056762695312500, 3102031.3414306640625000 1683399.1558837890625000, 3102116.4130859375000000 1683399.6276855468750000, 3102130.8864746093750000 1683399.7082519531250000, 3102130.9072875976562500 1683395.8953857421875000, 3102138.4074707031250000 1683395.9365844726562500, 3102138.5027465820312500 1683378.8178100585937500, 3102138.5504150390625000 1683370.1119384765625000, 3102131.6944580078125000 1683370.0737304687500000, 3102131.8970947265625000 1683333.6653442382812500, 3102139.1560668945312500 1683333.7057495117187500, 3102139.6324462890625000 1683247.8549194335937500, 3102146.2003173828125000 1683247.8915405273437500, 3102146.8551635742187500 1683130.0428466796875000, 3102140.6029663085937500 1683130.0073242187500000, 3102140.9715576171875000 1683063.5848388671875000, 3102133.2059936523437500 1683063.5421142578125000, 3102133.3757324218750000 1683033.0928955078125000, 3102140.8604125976562500 1683033.1337280273437500, 3102141.3073120117187500 1682952.5637207031250000))",75951,4917105011,,,Commercial     2112,,8.26,Commercial,,4498025,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11703934.233%2C4823524.790%2C-11703726.862%2C4823833.218&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Jefferson/aerial_imagery/world_imagery/4917105011-world_imagery-ai-crop.jpg,ok,,FALSE,640,640,143.79,54.76,,,
Jefferson,421 ZANG ST,LAKEWOOD,CO,80228,"POLYGON ((3099493.9573364257812500 1688857.7919311523437500, 3099498.4390258789062500 1688857.6811523437500000, 3099503.1509399414062500 1688857.5635375976562500, 3099503.9490966796875000 1688889.7296142578125000, 3099538.5404663085937500 1688888.8710327148437500, 3099538.3669433593750000 1688882.0615234375000000, 3099538.0784912109375000 1688870.2471313476562500, 3099552.9110107421875000 1688869.8811645507812500, 3099557.4788818359375000 1688869.7658691406250000, 3099558.5265502929687500 1688911.9932250976562500, 3099559.6418457031250000 1688911.9663696289062500, 3099628.0734252929687500 1688910.2677001953125000, 3099627.4650878906250000 1688885.7371826171875000, 3099627.3963012695312500 1688882.9832763671875000, 3099627.3331298828125000 1688880.4282836914062500, 3099626.1883544921875000 1688834.2716064453125000, 3099639.9135131835937500 1688833.9313964843750000, 3099641.2303466796875000 1688833.8988647460937500, 3099640.7244873046875000 1688813.4730834960937500, 3099626.0269165039062500 1688813.8379516601562500, 3099625.9993286132812500 1688812.7033081054687500, 3099625.9411010742187500 1688810.3713989257812500, 3099624.8446655273437500 1688766.1527099609375000, 3099556.0539550781250000 1688767.8597412109375000, 3099556.9893188476562500 1688805.5744018554687500, 3099537.5552368164062500 1688806.0568237304687500, 3099536.5340576171875000 1688764.8933715820312500, 3099536.4693603515625000 1688762.2786254882812500, 3099536.4100341796875000 1688759.8771362304687500, 3099536.3888549804687500 1688759.0404052734375000, 3099536.2897949218750000 1688755.0510253906250000, 3099485.5123291015625000 1688756.3103637695312500, 3099486.7947998046875000 1688807.9887695312500000, 3099456.9992065429687500 1688808.7275390625000000, 3099454.8275756835937500 1688721.2172851562500000, 3099400.7382202148437500 1688722.5586547851562500, 3099402.5514526367187500 1688795.6477050781250000, 3099402.8947143554687500 1688809.5037231445312500, 3099393.3389282226562500 1688809.7403564453125000, 3099383.8583984375000000 1688809.9763183593750000, 3099299.5757446289062500 1688812.0659179687500000, 3099300.9258422851562500 1688866.4940185546875000, 3099404.2766113281250000 1688863.9306640625000000, 3099406.2917480468750000 1688945.1687011718750000, 3099460.4211425781250000 1688943.8258056640625000, 3099458.3092651367187500 1688858.6762084960937500, 3099493.9573364257812500 1688857.7919311523437500))",36947,4908202002,1988,,"Public Office, Medical Building    9179 9279",1,8.50,Public,,4628250,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11704955.518%2C4825840.727%2C-11704725.604%2C4826024.454&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Jefferson/aerial_imagery/world_imagery/4908202002-world_imagery-ai-crop.jpg,ok,,FALSE,640,640,111.83,59.32,,,
Jefferson,143 UNION BLVD,LAKEWOOD,CO,80228,"POLYGON ((3102727.8075561523437500 1686429.5200805664062500, 3102742.0938110351562500 1686483.9935302734375000, 3102745.3501586914062500 1686483.1402587890625000, 3102747.7323608398437500 1686492.2253417968750000, 3102760.2374877929687500 1686488.9451904296875000, 3102757.8405151367187500 1686479.8056640625000000, 3102802.1423339843750000 1686468.1855468750000000, 3102805.8580322265625000 1686482.3527221679687500, 3102823.6785278320312500 1686477.6785888671875000, 3102823.0660400390625000 1686475.3458862304687500, 3102869.4642333984375000 1686463.1768798828125000, 3102870.0034179687500000 1686465.2301635742187500, 3102888.8238525390625000 1686460.2940673828125000, 3102888.1289672851562500 1686457.6445312500000000, 3102906.4703979492187500 1686452.8342895507812500, 3102890.2964477539062500 1686397.2020263671875000, 3102880.2714843750000000 1686399.5093994140625000, 3102878.6124877929687500 1686393.0530395507812500, 3102871.4075317382812500 1686394.9441528320312500, 3102866.7818603515625000 1686377.3082275390625000, 3102849.4154052734375000 1686381.8632202148437500, 3102847.1228027343750000 1686373.1237182617187500, 3102798.3816528320312500 1686385.9074707031250000, 3102800.9003906250000000 1686395.5116577148437500, 3102786.1498413085937500 1686399.3808593750000000, 3102785.6020507812500000 1686397.2927246093750000, 3102764.6575317382812500 1686402.7861328125000000, 3102767.0821533203125000 1686412.0322875976562500, 3102750.6680908203125000 1686416.3377685546875000, 3102751.8408813476562500 1686420.8088989257812500, 3102749.0745239257812500 1686421.5351562500000000, 3102749.6643066406250000 1686423.7869873046875000, 3102732.3399047851562500 1686428.3317871093750000, 3102727.8075561523437500 1686429.5200805664062500))",12884,4908402004,1981,,Commercial Office Building    2120 2220,10,8.17,Commercial,,4448025,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11703580.012%2C4824925.056%2C-11703459.760%2C4825022.048&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Jefferson/aerial_imagery/world_imagery/4908402004-world_imagery-ai-crop.jpg,ok,,FALSE,640,640,96.74,50.46,,,
Jefferson,12250 W KENTUCKY DR,LAKEWOOD,CO,80228,"POLYGON ((3103792.8720092773437500 1679942.2203979492187500, 3103808.0561523437500000 1679925.9776000976562500, 3103839.3402099609375000 1679939.9266357421875000, 3103842.6430053710937500 1679937.4411621093750000, 3103845.7764892578125000 1679934.7447509765625000, 3103848.7266235351562500 1679931.8486938476562500, 3103851.4812622070312500 1679928.7655639648437500, 3103854.0271606445312500 1679925.5087890625000000, 3103856.3549804687500000 1679922.0921630859375000, 3103858.4536743164062500 1679918.5307006835937500, 3103860.3153076171875000 1679914.8392333984375000, 3103861.9300537109375000 1679911.0339355468750000, 3103863.2926025390625000 1679907.1303100585937500, 3103864.3969726562500000 1679903.1465454101562500, 3103865.2377929687500000 1679899.0985107421875000, 3103865.8113403320312500 1679895.0051269531250000, 3103866.1160888671875000 1679890.8822631835937500, 3103866.1500854492187500 1679886.7484130859375000, 3103865.9133911132812500 1679882.6206054687500000, 3103865.4067993164062500 1679878.5177612304687500, 3103842.2464599609375000 1679868.7150878906250000, 3103831.6101074218750000 1679878.9688110351562500, 3103813.8009643554687500 1679862.1437988281250000, 3103820.7250366210937500 1679847.1486816406250000, 3103788.5774536132812500 1679834.2212524414062500, 3103785.3430786132812500 1679841.2088012695312500, 3103731.8839721679687500 1679819.8226928710937500, 3103728.6767578125000000 1679818.5387573242187500, 3103721.4086914062500000 1679815.6317749023437500, 3103723.1655883789062500 1679812.4536743164062500, 3103727.4657592773437500 1679814.2136230468750000, 3103734.2635498046875000 1679797.2521362304687500, 3103732.6684570312500000 1679796.7130126953125000, 3103735.2608642578125000 1679790.2369995117187500, 3103736.8076171875000000 1679790.8241577148437500, 3103745.8522338867187500 1679768.8369140625000000, 3103744.1697998046875000 1679768.2546997070312500, 3103746.6632080078125000 1679762.3586425781250000, 3103754.6859130859375000 1679765.1995239257812500, 3103761.7565917968750000 1679748.0607299804687500, 3103773.7895507812500000 1679718.8878784179687500, 3103773.8670654296875000 1679718.6992187500000000, 3103757.3577270507812500 1679711.8201293945312500, 3103776.8844604492187500 1679663.2793579101562500, 3103647.9748535156250000 1679611.4981689453125000, 3103627.8859252929687500 1679662.3308105468750000, 3103611.0665893554687500 1679656.0000000000000000, 3103602.0151977539062500 1679678.0986938476562500, 3103610.7463989257812500 1679681.4805908203125000, 3103609.8023071289062500 1679683.8491821289062500, 3103609.7463989257812500 1679683.9906005859375000, 3103609.0665893554687500 1679685.6983642578125000, 3103608.2786865234375000 1679687.6756591796875000, 3103564.6060180664062500 1679797.2691650390625000, 3103563.2585449218750000 1679800.6517944335937500, 3103562.3126220703125000 1679803.0249633789062500, 3103561.2150878906250000 1679805.7791748046875000, 3103563.0978393554687500 1679806.3062133789062500, 3103564.9791259765625000 1679806.8328857421875000, 3103568.6574096679687500 1679807.8616333007812500, 3103555.7935180664062500 1679837.7183837890625000, 3103615.1909790039062500 1679861.8258666992187500, 3103610.8496093750000000 1679872.5759887695312500, 3103605.2639770507812500 1679886.4039916992187500, 3103605.4609375000000000 1679886.4841308593750000, 3103637.4625244140625000 1679899.3972167968750000, 3103641.0689697265625000 1679888.8297119140625000, 3103668.6648559570312500 1679900.1726684570312500, 3103679.2199096679687500 1679877.3994140625000000, 3103682.6335449218750000 1679878.8342285156250000, 3103685.6055908203125000 1679880.0833740234375000, 3103786.5820312500000000 1679922.5420532226562500, 3103779.4284667968750000 1679929.2071533203125000, 3103781.5668945312500000 1679931.2770996093750000, 3103787.5581665039062500 1679937.0767211914062500, 3103792.8720092773437500 1679942.2203979492187500), (3103727.8007812500000000 1679775.1099243164062500, 3103722.3666992187500000 1679788.7435913085937500, 3103725.7191162109375000 1679790.0797119140625000, 3103720.4544067382812500 1679803.2907104492187500, 3103715.2971191406250000 1679801.2355346679687500, 3103718.0884399414062500 1679794.2297973632812500, 3103714.1557006835937500 1679792.6627197265625000, 3103716.2801513671875000 1679787.3311157226562500, 3103670.2410888671875000 1679768.9847412109375000, 3103658.8538818359375000 1679797.5584106445312500, 3103585.6416015625000000 1679768.3828735351562500, 3103609.8079833984375000 1679707.7380981445312500, 3103734.7988891601562500 1679757.5473022460937500, 3103731.0695800781250000 1679766.9068603515625000, 3103727.8007812500000000 1679775.1099243164062500), (3103730.0487670898437500 1679720.8322753906250000, 3103641.9445800781250000 1679685.3622436523437500, 3103656.6410522460937500 1679648.8566894531250000, 3103744.7452392578125000 1679684.3267211914062500, 3103730.0487670898437500 1679720.8322753906250000))",39689,4917423001,1962,,"Public School, Entire Elementary    9139 9239",1,9.57,Public,,478495,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11703284.071%2C4822216.670%2C-11703069.425%2C4822439.583&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,/Users/vernabbott/Library/CloudStorage/OneDrive-Personal/Visual Studio/PCS Roof Intelligence Report/data/CO/Jefferson/aerial_imagery/world_imagery/4917423001-world_imagery-ai-crop.jpg,ok,,FALSE,640,640,135.79,41.97,,,
